,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Kuronen Organic Red 2020 muovipullo,13.5,1.0,11.28,11.28,1.196808510638298
0,Lisa 1503 Rosso D'artista hanapakkaus,13.5,3.0,33.90,11.299999999999999,1.1946902654867257
0,Cerro Rosé kartonkitölkki,13.0,1.0,10.89,10.89,1.1937557392102847
0,Nobenaps Organic Blackcurrant Peppermint,38.0,0.5,15.92,31.84,1.1934673366834172
0,Graffigna Elixio Cabernet Sauvignon 2022,13.5,0.75,8.49,11.32,1.1925795053003534
0,Spinyback Pinot Gris 2021 hanapakkaus,13.5,1.5,16.99,11.326666666666666,1.1918775750441437
0,Ricossa Barbera Nebbiolo 2022 hanapakkaus,13.5,3.0,33.98,11.326666666666666,1.1918775750441437
0,Vite Mia Vino Biologico Rosso 2020 hanapakkaus,13.5,3.0,33.98,11.326666666666666,1.1918775750441437
0,Camden Park Cabernet Sauvignon Shiraz 2021 hanapakkaus,13.5,3.0,33.98,11.326666666666666,1.1918775750441437
0,Espiritu de Chile Viajero Rose 2022 kartonkitölkki,12.5,1.0,10.49,10.49,1.1916110581506196
0,Origin Organic Tempranillo Merlot 2021 kartonkitölkki,13.5,0.75,8.50,11.333333333333334,1.1911764705882353
0,Tasavalta Viina muovipullo,28.0,0.7,16.49,23.557142857142857,1.1885991510006064
0,Montalto Syrah 2022 muovipullo,14.0,1.0,11.78,11.78,1.1884550084889645
0,Label 5,40.0,0.7,23.56,33.65714285714286,1.1884550084889642
0,Los Molinos Airén-Verdejo,12.0,0.75,7.59,10.12,1.1857707509881423
0,Saunalahden Viina 27 % muovipullo,27.0,0.5,11.39,22.78,1.1852502194907812
0,The Sugar Skull 2021 kartonkitölkki,11.0,1.0,9.29,9.29,1.1840688912809474
0,Tommolo Organic Montepulciano d'Abruzzo 2021 hanapakkaus,13.0,3.0,32.95,10.983333333333334,1.1836115326251895
0,Kiroileva Viini Syrah Rosé 2022 kartonkitölkki,13.0,1.0,10.99,10.99,1.1828935395814377
0,Camden Park Shiraz Petit Verdot Cabernet Sauvignon 2021 kartonkitölkki,13.0,1.0,10.99,10.99,1.1828935395814377
0,Relax it's Only Wine 2021 kartonkitölkki,13.0,1.0,10.99,10.99,1.1828935395814377
0,Smooth Escape Riverland Shiraz Cabernet Sauvignon 2022 muovipullo,13.0,1.0,10.99,10.99,1.1828935395814377
0,Pirkko Rosé 2022 kartonkitölkki,13.0,1.0,10.99,10.99,1.1828935395814377
0,Kolme Leijonaa muovipullo,40.0,0.7,23.68,33.82857142857143,1.1824324324324325
