#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-38.073108,8,2.591357
-39.8,1,2.592359
-39.8,1,2.592359
-38.937439,4,2.593359
-39.564857,2,2.59436
-39.624638,6,2.596362
-39.985032,2,3.291994
-39.598374,4,3.293996
-39.200733,2,3.294997
-39.778836,2,3.295998
-37.366942,13,3.300002
-37.257529,12,3.305006
-38.960529,4,3.307008
-37.187562,16,3.313014
-35.792926,16,3.318018
-37.246318,9,3.322022
-39.472441,4,3.324024
-39.8,1,3.324024
-39.935359,7,3.326025
-39.545319,4,3.328027
-38.441419,5,3.330029
-37.926749,9,3.334033
-39.4,3,3.335034
-39.642988,11,3.339038
-38.443594,5,3.341039
-37.112182,8,3.344042
-38.919172,4,3.346044
-39.8,1,3.346044
-39.633206,2,3.347044
-39.018715,11,3.352049
-39.20241,5,3.354051
-38.839163,8,3.357054
-38.869153,4,3.359056
-39.8,1,3.359056
-39.8,1,3.360057
-39.405384,3,3.361058
-39.7211,6,3.363059
-37.634342,6,3.365061
-39.776938,5,3.367063
-38.042206,16,3.372067
-39.8,1,3.373068
-38.661734,6,3.37507
-39.335756,5,3.377072
-33.745291,17,3.383078
-39.8,1,3.383078
-39.147369,7,3.386081
-38.073219,7,3.388082
-39.407198,3,3.389083
-39.759781,7,3.391085
-38.919012,5,3.393087
-39.726283,5,3.395089
-39.696992,2,3.395089
-39.8,1,3.39609
-38.44251,5,3.398091
-39.427177,2,3.399092
-37.66532,10,3.403096
2.606742,17,3.409101
-39.415186,3,3.411103
-35.808486,13,3.416107
-37.947683,8,3.41911
-38.637146,10,3.423114
-37.971762,7,3.426117
-36.575912,10,3.42912
-39.8,1,3.430121
-39.12135,7,3.433123
-39.080318,11,3.437127
-39.445415,14,3.442131
-36.08601,17,3.448137
-39.374774,2,3.449137
-37.569752,11,3.453141
-39.41759,3,3.455143
-39.577818,4,3.456144
-38.412629,11,3.461148
-38.448018,5,3.46315
-38.634359,7,3.465152
-39.387178,4,3.467154
-39.406565,2,3.468154
-38.628007,8,3.471157
-39.4,3,3.472158
-38.494081,5,3.47416
-37.714303,12,3.479165
-33.714415,35,3.491176
-39.605965,4,3.493178
-38.08295,17,3.498183
-40.064151,10,3.501185
-37.999478,12,3.50619
-37.866688,9,3.509193
-39.550692,5,3.511194
-39.885764,2,3.511194
-39.14935,4,3.513196
-40.492077,10,3.516199
-39.208305,2,3.5172
-39.799353,2,3.5172
-39.221636,2,3.518201
-39.983838,2,3.519202
-39.435165,2,3.520202
-39.007754,4,3.521204
-39.226252,2,3.522204
-38.847563,7,3.524206
-39.711859,10,3.527209
-39.431818,6,3.529211
-38.806458,4,3.530212
-37.737907,10,3.533214
-39.8,1,3.534215
-36.963199,13,3.538218
-37.337038,8,3.540221
-37.729295,11,3.544225
-38.850246,4,3.545226
-39.511469,4,3.546226
-39.181822,6,3.548228
-39.8,1,3.549229
-39.408137,13,3.553233
-38.942673,4,3.554234
-39.451446,4,3.555234
-38.720961,5,3.557237
-37.41122,11,3.560239
-39.42315,7,3.562241
-39.540872,4,3.564243
-39.466309,4,3.565243
-39.8,1,3.565243
-39.161908,5,3.567245
-39.8,1,3.567245
