#{"t_start": 1701784901.7282495, "env_id": "None"}
r,l,t
-11.555,347,62.734419
-2.586,155,62.789469
-4.021,155,62.843518
-0.356,60,62.865538
-0.108,60,62.886557
-1.467,58,63.774364
-1.462,58,63.799387
-0.096,257,63.901479
-1.555,58,63.922498
1.526,341,64.046612
-0.032,60,64.067631
-1.202,58,64.08865
0.608,252,64.201753
-7.414,428,64.357894
4.051,161,64.41895
-1.131,58,64.438968
-0.116,60,64.460988
-1.07,58,64.482007
-1.237,58,64.504027
-1.122,58,64.525046
0.029,60,65.362807
-2.945,155,65.427867
2.785,252,65.526957
-1.361,58,65.550978
3.358,161,65.609031
-1.212,58,65.629049
-0.145,60,65.650069
-1.128,58,65.671088
-5.698,155,65.724136
-1.484,252,65.871269
-1.527,58,65.892288
-1.123,58,65.912307
3.918,164,65.97036
-1.211,58,65.991379
-3.031,155,66.045428
-1.222,58,66.066447
-0.304,508,67.045336
-2.783,155,67.111396
5.359,252,67.226501
0.633,252,67.32459
-1.134,58,67.344608
-3.812,155,67.40166
-1.223,58,67.422679
-4.179,155,67.476728
-7.027,341,67.597838
-3.65,341,67.718948
0.207,252,68.650795
-1.28,58,68.675817
-5.215,341,68.808939
-11.508,508,68.9861
-0.16,60,69.008143
7.586,252,69.096787
-5.199,159,69.170847
-5.312,159,69.237908
-1.656,58,69.258927
-2.424,155,69.369027
-0.404,254,70.278854
-2.763,155,70.34091
-1.473,58,70.363931
13.935,508,70.5491
1.48,254,70.63818
-1.421,252,70.72626
-2.859,155,70.781311
-0.179,252,70.86839
-0.307,341,71.798234
-1.814,252,71.896324
-13.562,350,72.027443
19.977,590,72.271665
2.018,254,72.361747
-3.286,155,72.418798
-1.101,58,72.438817
11.088,588,73.471755
0.343,60,73.494776
-1.343,58,73.518797
-2.715,155,73.577852
-0.039,60,73.598871
-1.305,58,73.61989
-1.811,155,73.72999
-11.24,345,73.8511
-2.495,155,73.905149
-7.336,341,74.023257
-1.338,58,74.044276
-5.194,159,74.10433
5.635,252,75.005148
-1.031,58,75.030171
-6.55,163,75.098233
-3.107,155,75.1713
21.693,428,75.334448
5.245,341,75.45756
-2.271,155,75.51261
-3.593,155,75.566659
-1.671,155,75.621709
-1.321,155,75.675758
3.083,253,76.58058
-2.251,155,76.640635
-2.683,155,76.700689
-1.092,58,76.72371
-1.036,58,76.746731
-3.723,155,76.80078
0.351,60,76.8228
0.444,60,76.84382
-3.696,155,76.897868
-1.036,58,76.917887
-1.479,155,76.972937
-2.543,155,77.026986
5.492,252,77.123073
3.5,161,77.297231
6.572,341,77.422345
-3.342,155,78.299141
0.465,60,78.325165
-1.225,58,78.350188
1.947,252,78.447276
3.988,161,78.504329
-1.065,58,78.525348
-1.127,58,78.546366
-2.587,155,78.599415
0.624,60,78.621435
-3.158,158,78.676485
-1.0,58,78.697504
-1.178,58,78.717522
-1.429,155,78.772573
2.854,252,78.860652
6.394,252,78.948732
-1.076,58,78.96875
7.842,252,79.83604
-1.107,58,79.859061
-1.013,58,79.884084
-1.067,58,79.908106
-1.711,155,79.965158
-2.294,155,80.019207
6.443,252,80.107287
-2.136,160,80.163338
-1.181,58,80.183357
3.926,252,80.271436
0.452,60,80.293456
6.858,252,80.392546
-2.998,155,80.458607
35.577,665,81.664702
5.459,252,81.836859
-1.025,58,81.856877
-1.134,58,81.877896
-1.832,155,81.931945
5.685,253,82.020025
0.76,60,82.042045
-1.64,155,82.097095
-1.942,155,82.151145
-3.011,158,82.206194
27.857,660,83.281171
-1.046,58,83.303191
0.584,60,83.325212
-2.259,155,83.388268
8.229,252,83.498369
-1.578,155,83.55442
0.685,60,83.576439
0.787,60,83.598459
6.906,252,83.690543
-1.029,58,83.711562
-2.274,155,83.766613
7.059,252,83.854693
-2.109,155,84.750507
8.143,252,84.852599
-1.602,155,84.915656
-1.0,58,84.939678
-1.589,155,84.993727
-1.058,58,85.014747
-1.008,58,85.034765
0.847,60,85.055784
-1.301,58,85.075802
22.701,428,85.224937
-2.363,155,85.343045
-1.98,155,85.413108
8.254,252,85.517203
-1.066,58,85.538223
0.661,60,85.560242
-1.089,58,86.32794
-1.21,58,86.351961
7.302,341,86.512107
8.965,252,86.604191
-1.021,58,86.624209
-1.052,58,86.648231
-1.668,155,86.704281
5.586,252,86.794363
-1.08,58,86.814382
-1.343,155,86.868431
6.097,256,86.957512
-1.384,155,87.011561
-1.274,58,87.03258
-1.11,58,87.053599
-1.205,58,87.073618
-1.558,155,87.980945
-1.062,58,88.004966
-1.094,58,88.027988
0.822,60,88.052009
-1.0,58,88.074029
-1.058,155,88.137087
-2.268,156,88.194139
-1.0,58,88.214157
3.772,253,88.302237
-2.317,155,88.36129
7.171,252,88.473393
-1.564,155,88.530445
-2.104,155,88.585495
-1.172,58,88.607515
-1.033,58,88.627533
-2.313,155,88.687587
-1.588,155,89.620091
-1.909,155,89.689153
-1.121,155,89.803257
-1.019,58,89.824276
0.954,60,89.845296
-1.015,58,89.865314
-1.112,58,89.886333
42.229,660,90.118544
-1.722,155,90.172593
-1.06,58,90.193612
-3.407,160,90.250664
-1.0,58,90.275687
-1.119,58,90.295705
-1.103,58,90.316724
-1.0,58,90.336742
0.732,60,90.363766
6.819,252,91.264585
5.433,341,91.417724
-1.56,155,91.486787
-2.081,155,91.550845
-1.814,155,91.614904
18.075,348,91.747024
8.203,252,91.837106
-1.63,160,91.89716
6.166,252,91.988243
-1.306,155,92.886059
-1.173,58,92.909079
-2.651,161,92.97614
-1.113,58,92.999161
-1.075,58,93.024184
-1.071,58,93.050208
-1.14,58,93.071227
-1.444,155,93.125276
-1.121,58,93.146295
-1.169,58,93.166313
-1.141,155,93.221363
-1.393,155,93.275412
4.118,254,93.373502
-1.917,155,93.44857
-1.005,58,93.474593
-1.011,58,93.498615
8.127,252,93.589698
-1.0,58,93.610717
-1.0,58,93.633738
-1.116,58,93.65776
-3.254,155,94.536559
7.891,252,94.640653
-1.0,58,94.666677
22.629,428,94.819816
-1.192,58,94.839834
-1.066,58,94.860853
4.302,341,94.978961
-1.828,155,95.034011
-4.265,155,95.08806
-1.0,155,95.142109
-1.03,58,95.163128
0.556,341,96.128004
-1.0,58,96.152026
3.598,254,96.250115
-3.803,164,96.31017
5.895,164,96.374228
-1.24,155,96.445294
-3.078,164,96.510352
34.812,662,96.749569
-1.022,58,96.770588
1.0,60,96.791608
-1.301,155,96.846658
5.668,161,97.782508
-1.349,155,97.846566
0.994,60,97.870587
-2.637,159,97.931643
-1.024,58,97.951661
38.941,664,98.181871
22.341,508,98.362035
-1.0,58,98.398067
-2.189,155,98.470134
25.525,428,99.405983
-1.747,347,99.547112
4.866,342,99.675732
-1.684,155,99.729782
-1.96,155,99.785832
-1.0,155,99.839881
-1.853,155,99.89393
2.949,253,99.983011
-2.757,160,100.89584
6.065,252,100.996933
6.997,341,101.129053
0.316,60,101.150072
-1.076,58,101.172092
5.939,341,101.334239
